order_id,symbol,side,order_type,price,quantity,trader_id,timestamp
f0a1b407-89c1-4d09-87a7-4f9a0d3e7081,AAPL,BUY,LIMIT,100.24,360,trader_04,2024-01-15T09:30:00+00:00
42d06d9e-617b-4e37-8ee0-3f0317ea0f86,AAPL,BUY,LIMIT,99.03,560,trader_08,2024-01-15T09:30:00.500000+00:00
cf2669bd-5ac4-4a34-92c9-d97b92264971,AAPL,BUY,LIMIT,102.15,1400,trader_14,2024-01-15T09:30:01+00:00
07f617f8-72eb-413b-a4f2-3981f4bd390b,AAPL,BUY,LIMIT,100.81,20,trader_06,2024-01-15T09:30:01.500000+00:00
b36db865-2778-4642-85ff-1413b951712e,AAPL,SELL,LIMIT,99.72,1960,trader_11,2024-01-15T09:30:02+00:00
a60a9bde-b2e3-4fc4-8f10-e968ba56a245,AAPL,BUY,LIMIT,99.36,890,trader_20,2024-01-15T09:30:02.500000+00:00
cba67b84-1868-4557-aaca-c260a8fabc28,AAPL,SELL,MARKET,,1870,trader_15,2024-01-15T09:30:03+00:00
ae0d30c9-da5f-42e1-8394-c8898bc9a62d,AAPL,BUY,FOK,100.58,760,trader_20,2024-01-15T09:30:03.500000+00:00
fb89e091-053b-452a-8c11-c386a2401044,AAPL,SELL,LIMIT,101.57,1700,trader_08,2024-01-15T09:30:04+00:00
32ae6589-faa6-4b06-9e93-75e7d0654605,AAPL,SELL,FOK,100.37,980,trader_09,2024-01-15T09:30:04.500000+00:00
3e5aab65-a56d-4fcd-a8e4-44e3f1fadcae,AAPL,SELL,LIMIT,100.16,910,trader_07,2024-01-15T09:30:05+00:00
341a97a0-2e1d-4d70-8b79-fca1ea62114b,AAPL,SELL,LIMIT,102.15,1560,trader_06,2024-01-15T09:30:05.500000+00:00
2e849fc0-97a6-477a-a199-7f99db5c8b96,AAPL,BUY,LIMIT,100.77,1640,trader_18,2024-01-15T09:30:06+00:00
6dc810c9-91ea-469f-b06c-8ce186ae4fe5,AAPL,BUY,LIMIT,99.23,90,trader_11,2024-01-15T09:30:06.500000+00:00
4e7d605e-9e3c-4ccb-aba0-184784c4dd54,AAPL,SELL,LIMIT,100.41,1460,trader_11,2024-01-15T09:30:07+00:00
7b9b8898-6208-4c1b-a4c8-b2f281827d45,AAPL,BUY,LIMIT,101.38,1650,trader_15,2024-01-15T09:30:07.500000+00:00
228c68e3-904d-42a4-9152-ffb5379eaafc,AAPL,BUY,LIMIT,100.24,1380,trader_09,2024-01-15T09:30:08+00:00
f5e38288-0772-4f53-be31-1494ebbd4577,AAPL,SELL,MARKET,,1030,trader_12,2024-01-15T09:30:08.500000+00:00
a727d896-649e-481d-91d5-7bc3acff7746,AAPL,BUY,FOK,100.01,240,trader_02,2024-01-15T09:30:09+00:00
9c4024d7-0162-4a15-bb28-ee13e68a196c,AAPL,BUY,LIMIT,100.29,1090,trader_20,2024-01-15T09:30:09.500000+00:00
e822ad28-e403-4d65-b4cd-ff7be824dbe3,AAPL,BUY,LIMIT,102.0,1360,trader_09,2024-01-15T09:30:10+00:00
f6b8b65d-e5a0-46d0-a6a8-3a3e31d4c773,AAPL,BUY,LIMIT,99.68,1380,trader_09,2024-01-15T09:30:10.500000+00:00
37ada592-ee4b-43be-8e8b-4d6c006f8c38,AAPL,SELL,LIMIT,100.66,10,trader_09,2024-01-15T09:30:11+00:00
95438155-f806-493b-908d-4432fc567ff1,AAPL,BUY,LIMIT,99.87,770,trader_17,2024-01-15T09:30:11.500000+00:00
38739f9d-96d3-4fbd-97e8-9aae244c4af8,AAPL,BUY,LIMIT,100.04,2000,trader_17,2024-01-15T09:30:12+00:00
3908167e-d97f-4076-8bd9-4951ac9b39b6,AAPL,BUY,LIMIT,100.52,930,trader_10,2024-01-15T09:30:12.500000+00:00
8926ebd4-3664-402e-9881-330e95dfa339,AAPL,BUY,LIMIT,101.95,220,trader_16,2024-01-15T09:30:13+00:00
886106e0-6c14-49ec-95f9-6a15e3392a81,AAPL,BUY,FOK,101.77,330,trader_16,2024-01-15T09:30:13.500000+00:00
b2646c75-c0aa-4b4c-886a-27e7e0b29287,AAPL,BUY,LIMIT,101.42,550,trader_18,2024-01-15T09:30:14+00:00
192bd1ec-31e2-4fb3-b59c-04bccd9182e0,AAPL,BUY,LIMIT,101.5,1670,trader_12,2024-01-15T09:30:14.500000+00:00
a748f34d-cec0-4d71-8c58-c505502fd5ce,AAPL,SELL,MARKET,,1160,trader_04,2024-01-15T09:30:15+00:00
362637c1-750c-4822-9710-d5b5e6a0f0d6,AAPL,BUY,LIMIT,100.02,1420,trader_08,2024-01-15T09:30:15.500000+00:00
9a41fd7f-eebe-4e25-9d92-fc883696429a,AAPL,BUY,LIMIT,102.13,590,trader_03,2024-01-15T09:30:16+00:00
045ea8aa-4aa4-419b-972d-df693e76b6d0,AAPL,BUY,MARKET,,190,trader_17,2024-01-15T09:30:16.500000+00:00
05d01ea0-ac4c-4570-bb05-dcfebe702aee,AAPL,BUY,LIMIT,100.71,340,trader_19,2024-01-15T09:30:17+00:00
0da9206c-c786-410d-a9d0-8f549d207064,AAPL,SELL,LIMIT,101.31,490,trader_04,2024-01-15T09:30:17.500000+00:00
d86b1fc3-327a-421d-920e-722af7069069,AAPL,BUY,LIMIT,100.42,1200,trader_02,2024-01-15T09:30:18+00:00
7bfcd77d-f0b1-4063-a929-14f9cb072c08,AAPL,BUY,LIMIT,101.84,280,trader_08,2024-01-15T09:30:18.500000+00:00
2369d643-1092-40bb-bf4d-148689c0ccd4,AAPL,BUY,LIMIT,100.64,470,trader_09,2024-01-15T09:30:19+00:00
8961db2f-8ffa-41da-9059-f1e7263e01e2,AAPL,SELL,LIMIT,99.44,1410,trader_04,2024-01-15T09:30:19.500000+00:00
2248692b-31d9-4d77-a8ec-e562e9b05a60,AAPL,BUY,LIMIT,101.84,240,trader_08,2024-01-15T09:30:20+00:00
a6017b05-4731-4b58-8ef8-384469a1a23b,AAPL,BUY,LIMIT,100.71,1030,trader_02,2024-01-15T09:30:20.500000+00:00
96031731-b6cf-42d7-92c5-a538532d62f2,AAPL,BUY,LIMIT,100.77,1170,trader_10,2024-01-15T09:30:21+00:00
931aef80-485a-4c80-a114-8fbdefa2ea55,AAPL,SELL,LIMIT,102.5,1430,trader_16,2024-01-15T09:30:21.500000+00:00
da762177-9e52-494b-8359-f9987c2a2396,AAPL,BUY,LIMIT,100.47,1490,trader_18,2024-01-15T09:30:22+00:00
c5ea78a5-8502-42b5-8f02-f12ea6a9fd3a,AAPL,BUY,LIMIT,99.05,1230,trader_17,2024-01-15T09:30:22.500000+00:00
1d651113-3440-4e36-9a95-3d1cd6f2068d,AAPL,BUY,LIMIT,101.08,480,trader_03,2024-01-15T09:30:23+00:00
529cfcbe-81fe-404a-8200-e29ac5e49eee,AAPL,BUY,LIMIT,99.9,1460,trader_08,2024-01-15T09:30:23.500000+00:00
66a34542-8c30-42ec-90cc-d176bad2ccff,AAPL,BUY,LIMIT,101.16,1450,trader_17,2024-01-15T09:30:24+00:00
460960a8-fac1-44c6-a3e9-e083ea09c270,AAPL,SELL,IOC,100.17,810,trader_08,2024-01-15T09:30:24.500000+00:00
1d6c30dc-e211-4a55-8e10-6ab1aef1f363,AAPL,SELL,LIMIT,102.15,1180,trader_11,2024-01-15T09:30:25+00:00
e30b078b-c3e4-4574-ae0b-f101397a18c6,AAPL,BUY,LIMIT,102.0,260,trader_03,2024-01-15T09:30:25.500000+00:00
